businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,salary,workYear
,成都,成都数联铭品科技有限公司,BBD,150-500人,2018/5/16 11:54,高新区,本科,"电子商务,数据服务",[],全职,3845490,4k-8k,不限
"['玉林', '小天竺', '跳伞塔']",成都,北京弘合柏基金融信息服务有限责任公司,有利网,500-2000人,2018/5/23 9:59,武侯区,本科,金融,"['金融', '高级', '中级', '数据挖掘', 'sas']",全职,4297147,12k-20k,3-5年
,成都,丹露成都网络技术有限公司,丹露成都网络技术有限公司,150-500人,2018/5/23 12:00,高新区,大专,"移动互联网,电子商务",[],全职,4568259,3k-5k,1-3年
,成都,四川中清科华云联科技有限公司,中清云联,50-150人,2018/5/11 15:39,高新区,本科,医疗健康,[],全职,4281078,10k-20k,5-10年
,成都,北京搜狗科技发展有限公司,搜狗,2000人以上,2018/5/21 17:39,高新区,本科,"移动互联网,数据服务",[],全职,4337570,4k-6k,1-3年
"['玉林', '火车南站', '桐梓林']",成都,杭州东信北邮信息技术有限公司,东信北邮,500-2000人,2018/5/22 11:03,武侯区,本科,"移动互联网,其他",[],全职,4351730,5k-10k,1-3年
,成都,成都数联铭品科技有限公司,BBD,150-500人,2018/5/16 11:54,高新区,本科,"电子商务,数据服务",[],全职,3865950,4k-7k,不限
"['玉林', '小天竺', '跳伞塔']",成都,北京弘合柏基金融信息服务有限责任公司,有利网,500-2000人,2018/5/23 9:59,武侯区,本科,金融,[],全职,3619188,8k-12k,3-5年
['华阳'],成都,北京创锐文化传媒有限公司,聚美优品,2000人以上,2018/5/22 10:13,高新区,本科,电子商务,"['金融', '助理', '实习生', '运营']",全职,3631662,7k-10k,应届毕业生
"['沙河源', '双水碾', '凤凰山']",成都,重庆云汉网络传媒有限责任公司,重庆云汉网络传媒有限公司,50-150人,2018/5/21 17:05,金牛区,硕士,电子商务,[],全职,4216852,8k-15k,不限
['人民北路'],成都,浙江喜歌实业有限公司,浙江喜歌实业有限公司,2000人以上,2018/5/21 11:29,金牛区,大专,"电子商务,其他",[],全职,4403034,10k-12k,1-3年
['华阳'],成都,成都厚立信息技术有限公司,厚立信息,50-150人,2018/5/23 10:57,高新区,本科,"医疗健康,数据服务","['医疗健康', '大数据', '数据挖掘']",全职,4440037,10k-15k,3-5年
,成都,云兴维智（北京）科技有限公司,云兴维智,15-50人,2018/5/21 9:07,武侯区,硕士,"数据服务,企业服务",[],全职,4356788,35k-60k,5-10年
