businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,salary,workYear,description
,佛山,广东美的厨房电器制造有限公司,美的集团-厨房电器,2000人以上,2018-05-04 10:37:00,顺德区,本科,硬件,[],全职,4460914,12k-18k,3-5年,"职位描述：

【职责描述】深入理解家电产品的各种数据业务，制定数据挖掘策略，制定数据模型，在大数据集中挖掘出有价值的数据。1、海量数据的ETL开发，抽取成各种数据需求。2、参与数据仓库架构的设计及开发 。3、参与数据仓库ETL流程优化及解决ETL相关技术问题。

【任职要求】
1、三年工作经验，统计、运筹、数学、应用数学、物理、信息技术、计算机等相关专业硕士及以上；2、熟悉主流数据库技术，如oracle、Sql server、PostgeSQL等；3、精通etl架构，有一定的etl开发经验，了解日常作业的部署和调度；4、熟悉数据etl开发工具，如Datastage,Congos,Kettle等。

【注意事项】
本岗位要求工作地点在广东省佛山市顺德区美的全球创新中心, 请各位投递简历时注意.

【周边介绍】
  环境：优美办公环境，园区内设有大型运动场地、健身房、游泳池等；
  用餐：园区提供食堂，包括工作餐、自助餐、面食、蒸饭等各式各样，最主要是安全可靠, 每天还有用餐补贴；
  交通：广州番禺就在隔壁，交通方便，20分钟公交到广州芳村，广珠城轨半小时到深圳北或珠海北，港澳过关便利；
  宿舍:  美的公寓，拎包入住;
  上下班：公司提供多线路班车，上班从不拥堵。"
['中和'],成都,成都娄外科技有限公司,西瓜创客,15-50人,2018-05-22 13:37:52,武侯区,本科,教育,[],全职,4216714,10k-20k,不限,"职位描述：

岗位职责
1、负责分析梳理产品或活动，根据业务需求设计试验和指标体系
2、追踪、整理和分析试验和产品数据，发现产品业务迭代提供洞见
3、建立和迭代用户行为分析模型
4、制作和讲解日常性分析报告，与产品运营、研发等团队协调沟通
帮助其他团队成员提升数据分析能力

岗位要求
1、持续学习者，不害怕没有接触过的技术和方法
2、统计、数学、信息技术、管理科学、生物统计等相关学科本科以上学历
3、熟练运用至少一门编程语言（Python、Ruby、R、MATLAB、C#等），熟悉数据库操作
4、具有数据挖掘、大数据分析、机器学习背景者优先

为什么来？
* 跟着产品经理一步一步亲历产品从0到1的过程，大量干货和实战
* 行业方向是增量市场
* 无数聪明的小伙伴，就将坐在你的身边
* 公司胜似图书馆；爱学习者的天堂；买书不花自己钱
* 待遇好


说说福利看？
* 公司包三餐，软件园的最高标准，健身餐都有哦
* 超多牛人环绕，多名主导从0到1的产品经理（CEOs）就在身边。即便未来自己想创业，听听他们踩过的坑都可以少交无数学费哦。
* 不定期国内顶级牛人到公司分享（什么闪送的CEO呀，洋葱数学的科学家呀...）"
,成都,成都利驰数据技术股份有限公司,利驰数据,50-150人,2018-05-22 18:17:57,高新区,本科,"移动互联网,数据服务","['金融', '汽车', '算法', '大数据', '数据挖掘']",全职,4567463,6k-10k,1-3年,"职位描述：

岗位职责：1、负责客户基础数据分析挖掘工作，通过特征抽取和建模，实现用户行为分析和用户画像，为业务部门提供数据支持．
2、基于用户基本信息、行为数据、和地理位置数据，实现产品设计效果检验、模拟用户匹配的算法；3、各类分析模型的原型开发的文档建立与管理；4、结合应用渠道等及产品整体数据分析，优化提升运营效果5、领导交办的其它任务。任职要求：1、本科及以上学历，计算机、统计、金融、数学、信息软件工程、电子工程等相关专业优先；2、具有2年及以上产品运营或数据分析挖掘经验，有汽车行业用户画像、产品运营经验者优先；3、熟练掌握多种统计和挖掘方法，熟练使用常见的数据分析相关的软件，具备建模基本知识；4、较强的数据敏感度，逻辑分析能力和文档写作能力；5、有责任心，良好的沟通能力和组织管理能力以及心理承受能力，勇于接受挑战。"
"['桐梓林', '火车南站', '桂溪']",成都,四川联合商道企业管理咨询有限公司,联合商道,150-500人,2018-05-22 17:59:02,武侯区,本科,移动互联网,[],全职,4610856,12k-15k,3-5年,"职位描述：

职位描述:
1.负责公司平台的相关数据分析，特征处理；

2.负责公司相关数据业务的数据挖掘研究；

3.负责实时分析数据采集程序的开发。

职位要求:

1.本科以上学历，应用数学、统计学、计算机专业相关;

2.3年以上事数据挖掘相关工作;

2.熟练掌握C++, python等一种或多种编程语言;

3.有大数据下的数据分析项目实战经验者优先。"
,成都,成都柠檬时光科技有限公司,柠檬科技,150-500人,2018-05-23 10:37:52,武侯区,本科,金融,"['银行', '高级', '业务运营', 'SPSS', 'sas']",全职,4317362,8k-15k,3-5年,"职位描述：

岗位职责：
1、与业务方沟通合作，根据业务分析需求，提供分析方案；
2、负责运营数据异常分析，以及规则模型上线与迁移数据分析核对；
3、协调相关资源，对模型规则能很好的实施落地，并成功交付；
4、支撑项目数据分析需求，完成相关分析报告等；

任职要求：
1、本科及以上学历，5年及以上数据分析相关经验；
2、思维清晰、做事严谨，关心数据并对数据敏感，了解常用企业级数据分析方法，有银行金融行业经验优先；
3、熟练使用Excel、R、Python或其他分析软件工具中的一种或者多种；
4、有一定数据库基础，熟悉SQL相关语法，了解用数据库（MySQL等）；
5、能接受市内外部项目驻场者优先；"
,成都,咪咕文化科技有限公司,咪咕,2000人以上,2018-05-22 14:24:59,高新区,本科,"移动互联网,文化娱乐",[],全职,4607877,15k-25k,5-10年,"职位描述：

1、构建业务/产品监控指标体系，并对运营/产品数据进行实时监控及管理，及时发现异常情况，能快速定位问题；2、从用户、商品、营销、APP布局等多角度开展分析工作，并建立对应主题的分析体系、决策及管理体系；3、与业务管理团队紧密合作，通过专题分析/挖掘数据，探索业务机会点并能贡献自己对业务的独特见解，推动运营业绩持续改善；4、沉淀分析思路与框架， 提炼数据产品需求，与相关团队（如技术开发团队） 协作并推动数据产品的落地；5、能独立负责项目的方案制定、项目推动与运营，并且指导其他同事在指定的时间里高质量的完成项目；6、提升团队的数据分析及数据运营水平。

1、有较强的团队沟通协调能力，能独立完成专题分析项目；2、较强的抗压能力，能在迅速变化的商业环境和动态的业务需求中，抓住重点并交出有质量的产出3、逻辑思维严密，有出色的结构化思维能力，有很好的分析能力和报告展示能力，有很好商业嗅觉；4、精通数据分析、从商业角度解读数据，熟练使用SQL/EXCEL/PPT，掌握至少一种主流数据挖掘或数据分析工具，如Python、R、SPSS、SAS等，熟悉数据仓库，熟悉hadoop者优先；5、5年以上数据分析工作经验，互联网背景优先，有咨询公司项目经验者优先；6、统计、数学、信息技术、计算机本科或硕士以上学历。"
"['人民北路', '城隍庙', '梁家巷']",成都,上海维信荟智金融科技有限公司,维信金融科技集团,2000人以上,2018-05-23 11:25:55,金牛区,大专,金融,[],全职,4604912,4k-6k,不限,"职位描述：

岗位职责：
1.负责日常行政事宜。
2.负责日常排班事宜。
3.负责根据业务发展规划人力，完成排班、进线等工作管理。
4.负责人员权限管理。
5.负责积分卡制定并定期回顾。
任职要求：
1.爱岗敬业、有责任心，具有承担和奉献精神，有较强的抗压能力。
2.具有较强的业务学习能力和良好的沟通能力。
3.能有效预估业务的发展规划及趋势；对于业务的突发性能通过有效人力布控积极解决。
4.具有良好的的服务意识。
5.具有团队合作精神、责任心强，有较强的抗压能力。"
,成都,客如云科技（北京）股份有限公司,客如云,500-2000人,2018-05-22 10:53:36,高新区,本科,"移动互联网,O2O",[],全职,4380157,15k-25k,3-5年,"职位描述：

工作职责:1. 参与数据仓库的设计和开发2. 参与数据仓库中ETL流程的优化，解决系统实施过程中的技术问题3. 应用统计建模、数据挖掘、机器学习等方法建立数据模型，并研发创新方法解决问题4  根据业务需求进行数据模型的调研、设计、开发及验证工作，并持续进行模型的优化；5. 深度理解数据模型和数据仓库6. 与业务部门沟通，快速、灵活地发布各类应用，提高运营效率任职资格:1. 了解数据挖掘方法2. 有海量数据分析或者数据仓库模型设计与开发经验3. 具有良好的商业敏感度和优秀的数据分析技能，能够开发创新而实际的分析方法以解决复杂的商业问题4. 计算机、数学、统计等相关专业, 能熟练阅读英文技术文档5. 两年以上Java、Python或者R项目开发经验6. 熟悉Hadoop或Spark等技术"
"['红星路', '东门大桥', '春熙路']",成都,昊盈信息技术（成都）有限公司,NEXA,150-500人,2018-05-22 08:59:50,锦江区,本科,"移动互联网,游戏",[],全职,2610548,5k-7k,不限,"职位描述：

Description:● Involved in company data warehouse setup project to build robust data analysis system.● Consistently report and monitor performance based on multiple data sources● Build mathematical models based on in-game user behaviors and monetization aspects to help the Market Intelligence team put these models into practice● Support other departments on relevant tasks as necessaryRequirements:● At least a Bachelor's in Computer Science, Mathematics, Statistics, Economics or relevant● 1+ years relevant, solid experience in data analysis. IT or game industry will be a plus● Sensitive with business logic and figures● Proficiency in SQL is a must. Other tools such as SPSS, SAS, MATLAB,R is a plus.● Skills: Data Analysis, Statistical Analysis, Data Mining, Database Management, Critical Thinking, Analytical, Logical, Communication, Presentation, Time Management
Benefits:
●Competitive Salary & Benefit System●Professional Training for new member●Diverse Career Paths●Simple Interpersonal Relationship●Optimistic and Positive Work Environment"
['跳伞塔'],成都,四川万益能源科技有限公司,万益能源,50-150人,2018-05-22 15:38:41,武侯区,本科,"企业服务,数据服务","['金融', '大数据', '数据挖掘', '建模']",全职,2880998,14k-20k,5-10年,"职位描述：

岗位职责：
1、负责基于海量能源市场数据，预测能源需求，能源用户的分类与画像分析，市场价格建模及预测；
2、基于能源用户基本信息、行为数据、和地理位置数据，实现产品设计效果检验、模拟用户匹配的算法；
3、协助设计与实施用于检验能源服务、订价策略的蒙特卡罗模拟模型；
4、各类分析模型的原型开发的文档建立与管理；
5、领导交办的其它任务。
任职要求：
1、计算机、统计、金融、数学、信息软件工程、电子工程、等相关专业，本科及以上学历；
2、熟练掌握多种统计和挖掘方法，熟练使用常见的数据分析相关的软件，具备线性和离散优化建模、蒙特卡罗模拟建模基本知识；
3、较强的数据敏感度，逻辑分析能力和文档写作能力；
4、有责任心，良好的沟通能力和组织管理能力以及心理承受能力，勇于接受挑战；
5、掌握统计软件R、Python，熟练使用者优先。"
